Tanggal,Harga_Aktual,Prediksi_LSTM
2026-02-19,6874.07861328125,7079.093
2026-02-20,6921.9814453125,7010.9165
2026-02-23,6993.8359375,6965.941
2026-02-24,6921.9814453125,6953.7197
2026-02-25,7017.78759765625,6947.0537
2026-02-26,6993.8359375,6962.282
2026-02-27,6874.07861328125,6981.5405
2026-03-02,6730.36962890625,6977.832
2026-03-03,6778.2724609375,6937.517
2026-03-04,6586.66064453125,6895.1
2026-03-05,6802.22412109375,6824.1177
2026-03-06,6706.41796875,6790.89
2026-03-09,6586.66064453125,6764.581
2026-03-10,6682.466796875,6724.71
2026-03-11,6538.7578125,6702.904
2026-03-12,6610.6123046875,6667.789
2026-03-13,6586.66064453125,6645.6675
2026-03-16,6466.9033203125,6629.6245
2026-03-17,6490.8544921875,6597.7705
2026-03-25,6610.6123046875,6568.3145
2026-03-26,6586.66064453125,6567.1724
2026-03-27,6419.0,6575.8843
2026-03-30,6450.0,6557.498
2026-03-31,6450.0,6534.8286
2026-04-01,6500.0,6514.0356
2026-04-02,6575.0,6506.936
2026-04-06,6500.0,6521.5127
2026-04-07,6500.0,6530.522
2026-04-08,6750.0,6535.2812
2026-04-09,6475.0,6582.749
2026-04-10,6700.0,6592.4727
2026-04-13,6575.0,6623.0654
2026-04-14,6750.0,6635.4355
2026-04-15,6550.0,6668.502
2026-04-16,6525.0,6669.1035
2026-04-17,6425.0,6648.9863
2026-04-20,6475.0,6603.7627
2026-04-21,6500.0,6563.0645
2026-04-22,6450.0,6536.156
2026-04-23,6425.0,6511.657
2026-04-24,6050.0,6488.247
2026-04-27,5975.0,6401.461
2026-04-28,6000.0,6285.391
2026-04-29,5975.0,6179.9624
2026-04-30,5850.0,6094.032
2026-05-04,5900.0,6010.586
2026-05-05,5950.0,5952.712
2026-05-06,5950.0,5927.392
2026-05-07,6225.0,5923.27
2026-05-08,6175.0,5981.1
2026-05-11,6150.0,6050.6436
2026-05-12,6125.0,6109.519
2026-05-13,6100.0,6148.3687
2026-05-14,6100.0,6165.8555
2026-05-15,6100.0,6169.4395
2026-05-18,6125.0,6165.125
2026-05-19,5950.0,6161.802
2026-05-20,5975.0,6127.3057
2026-05-21,5950.0,6087.801
2026-05-22,5900.0,6047.9805
