ds,y
2021-06-22,5432.36767578125
2021-06-23,5338.115234375
2021-06-24,5320.97802734375
2021-06-25,5303.841796875
2021-06-28,5188.16796875
2021-06-29,5179.5986328125
2021-06-30,5162.46337890625
2021-07-01,5162.46337890625
2021-07-02,5226.7255859375
2021-07-05,5235.2939453125
2021-07-06,5188.16796875
2021-07-07,5196.73583984375
2021-07-08,5153.89453125
2021-07-09,5158.1787109375
2021-07-12,5286.70458984375
2021-07-13,5179.5986328125
2021-07-14,5132.47314453125
2021-07-15,5239.57763671875
2021-07-16,5235.2939453125
2021-07-19,5145.32666015625
2021-07-21,5149.60986328125
2021-07-22,5273.8515625
2021-07-23,5171.03076171875
2021-07-26,5145.32666015625
2021-07-27,5145.32666015625
2021-07-28,5123.904296875
2021-07-29,5175.31494140625
2021-07-30,5115.33642578125
2021-08-02,5106.767578125
2021-08-03,5265.283203125
2021-08-04,5243.861328125
2021-08-05,5398.09326171875
2021-08-06,5278.13623046875
2021-08-09,5312.40966796875
2021-08-10,5398.09326171875
2021-08-12,5398.09326171875
2021-08-13,5492.3466796875
2021-08-16,5500.9150390625
2021-08-18,5655.14501953125
2021-08-19,5655.14501953125
2021-08-20,5655.14501953125
2021-08-23,5646.5771484375
2021-08-24,5655.14501953125
2021-08-25,5655.14501953125
2021-08-26,5620.8720703125
2021-08-27,5578.0302734375
2021-08-30,5625.15673828125
2021-08-31,5612.3037109375
2021-09-01,5625.15673828125
2021-09-02,5603.73583984375
2021-09-03,5655.14501953125
2021-09-06,5633.724609375
2021-09-07,5629.43994140625
2021-09-08,5518.05126953125
2021-09-09,5629.43994140625
2021-09-10,5586.59814453125
2021-09-13,5616.5888671875
2021-09-14,5608.02001953125
2021-09-15,5565.177734375
2021-09-16,5569.4619140625
2021-09-17,5586.59814453125
2021-09-20,5642.29345703125
2021-09-21,5560.89306640625
2021-09-22,5616.5888671875
2021-09-23,5638.00927734375
2021-09-24,5642.29345703125
2021-09-27,5638.00927734375
2021-09-28,5586.59814453125
2021-09-29,5638.00927734375
2021-09-30,5997.8818359375
2021-10-01,5792.240234375
2021-10-04,5963.6083984375
2021-10-05,5950.7548828125
2021-10-06,6152.11376953125
2021-10-07,6134.97607421875
2021-10-08,6246.36572265625
2021-10-11,6216.37548828125
2021-10-12,6272.0703125
2021-10-13,6447.72265625
2021-10-14,6640.51220703125
2021-10-15,6554.82763671875
2021-10-18,6447.72265625
2021-10-19,6426.3017578125
2021-10-21,6340.61865234375
2021-10-22,6447.72265625
2021-10-25,6447.72265625
2021-10-26,6447.72265625
2021-10-27,6383.458984375
2021-10-28,6319.197265625
2021-10-29,6404.88037109375
2021-11-01,6340.61865234375
2021-11-02,6254.93408203125
2021-11-03,6297.7763671875
2021-11-04,6319.197265625
2021-11-05,6383.458984375
2021-11-08,6490.56494140625
2021-11-09,6576.2490234375
2021-11-10,6554.82763671875
2021-11-11,6576.2490234375
2021-11-12,6447.72265625
2021-11-15,6426.3017578125
2021-11-16,6404.88037109375
2021-11-17,6512.3447265625
2021-11-18,6361.8955078125
2021-11-19,6383.38818359375
2021-11-22,6426.37353515625
2021-11-23,6426.37353515625
2021-11-24,6426.37353515625
2021-11-25,6383.38818359375
2021-11-26,6254.4306640625
2021-11-29,6361.8955078125
2021-11-30,6254.4306640625
2021-12-01,6275.923828125
