Tanggal,Harga_Aktual,Prediksi_Prophet,Batas_Bawah_Pasti,Batas_Atas_Pasti
2026-02-20,6921.9814453125,11707.49273809299,10116.244947984731,13468.44794787264
2026-02-23,6993.8359375,11689.19111374553,10001.819882940063,13468.119019920296
2026-02-24,6921.9814453125,11684.906597305728,10006.218649665194,13510.636677459284
2026-02-25,7017.78759765625,11677.86225090638,10034.641101779065,13492.251171520411
2026-02-26,6993.8359375,11675.962120462053,10072.476066897372,13445.317807539957
2026-02-27,6874.07861328125,11666.209987959775,9981.88879953948,13476.009255286055
2026-03-02,6730.36962890625,11633.682881126002,9969.760544613177,13512.201990805639
2026-03-03,6778.2724609375,11626.2930777777,9953.450074405646,13456.230228949757
2026-03-04,6586.66064453125,11617.041126923346,9968.081263960019,13528.126037137585
2026-03-05,6802.22412109375,11613.850248355346,9928.318051768016,13454.795512179679
2026-03-06,6706.41796875,11603.723899253962,9878.35509529259,13411.65392168524
2026-03-09,6586.66064453125,11575.28721997039,9926.077252244002,13375.660284933365
2026-03-10,6682.466796875,11570.816554463716,9785.917771234894,13412.44860508736
2026-03-11,6538.7578125,11565.133050614877,9795.767309638593,13453.187706575667
2026-03-12,6610.6123046875,11566.064836760841,9848.789842064763,13460.919717441911
2026-03-13,6586.66064453125,11560.511851676958,9767.365238419923,13527.716594191372
2026-03-16,6466.9033203125,11547.397433118393,9706.271582063519,13427.191286908941
2026-03-17,6490.8544921875,11548.198962782022,9789.995369912478,13487.022201461341
2026-03-25,6610.6123046875,11557.480186170105,9786.974675136558,13542.208450409036
2026-03-26,6586.66064453125,11565.497499687515,9813.708961078068,13554.01289205727
2026-03-27,6419.0,11566.29542966748,9711.824483056806,13561.502748511446
2026-03-30,6450.0,11567.543670844314,9850.955441511987,13513.086539092006
2026-03-31,6450.0,11571.597864322277,9832.590247858623,13523.299131188352
2026-04-01,6500.0,11573.648405768272,9741.793862620407,13519.436737716103
2026-04-02,6575.0,11581.499101071831,9793.70012830501,13560.336455746177
2026-04-06,6500.0,11582.69504642889,9714.793878873685,13567.69574572073
2026-04-07,6500.0,11586.765583488834,9746.341856033785,13626.49799171633
2026-04-08,6750.0,11589.003933437394,9717.688873837713,13601.012516551054
2026-04-09,6475.0,11597.23439506117,9731.749568765666,13537.809829366906
2026-04-10,6700.0,11598.365170425133,9733.668171952615,13574.157848844481
2026-04-13,6575.0,11601.828083491393,9733.110066372074,13737.925532514384
2026-04-14,6750.0,11607.096044059095,9749.716037083583,13612.171410480772
2026-04-15,6550.0,11610.582031109872,9752.036667224225,13746.78981278735
2026-04-16,6525.0,11620.049600325781,9773.882002291215,13629.72951531602
2026-04-17,6425.0,11622.340028448089,9713.511102297924,13661.126140887927
2026-04-20,6475.0,11628.106177265949,9671.706641234976,13708.657692789277
2026-04-21,6500.0,11633.517393502183,9701.70087646613,13729.51388207321
2026-04-22,6450.0,11636.72965113202,9701.415727088446,13756.149267665309
2026-04-23,6425.0,11645.45600284961,9724.725121017176,13772.80937416353
2026-04-24,6050.0,11646.498728568826,9696.324308441386,13745.225148326224
2026-04-27,5975.0,11645.304326434349,9655.683905142794,13803.645745866968
2026-04-28,6000.0,11647.343090633995,9689.614069902054,13755.281923382445
2026-04-29,5975.0,11646.709213110107,9726.096437950055,13856.013776437321
2026-04-30,5850.0,11651.172713248661,9657.752817460261,13737.196694535667
2026-05-04,5900.0,11631.47360033524,9691.812003885845,13855.801626481893
2026-05-05,5950.0,11628.527086546625,9607.03368435449,13768.828629892352
2026-05-06,5950.0,11623.10833230897,9619.433225533157,13911.83651004603
2026-05-07,6225.0,11623.113812956082,9598.589010848553,13774.561887038748
2026-05-08,6175.0,11615.54385103416,9610.84511652855,13807.985344420315
2026-05-11,6150.0,11591.257446854108,9552.821560831671,13799.462233055561
2026-05-12,6125.0,11587.214346484647,9562.468473044335,13818.292832739848
2026-05-13,6100.0,11581.637245779973,9501.56798842736,13854.156435725943
2026-05-14,6100.0,11705.648109062222,9654.900169610897,13983.52036268955
2026-05-15,6100.0,11576.744540028007,9447.032996195363,13816.182632661226
2026-05-18,6125.0,11563.99998627336,9468.421712609821,13793.945006410137
2026-05-19,5950.0,11565.66570313739,9477.358384543953,13885.43671306955
2026-05-20,5975.0,11566.599326244272,9423.165177875399,13831.727996334965
