Tanggal,Harga_Aktual,Prediksi_HoltWinters
2026-01-12,7688.42919921875,10105.131015229807
2026-01-13,7736.33251953125,10083.572928057265
2026-01-14,7664.47802734375,10106.391709774482
2026-01-15,7736.33251953125,10109.153916716805
2026-01-19,7784.2353515625,10105.417029931032
2026-01-20,7664.47802734375,10112.400520876958
2026-01-21,7377.06005859375,10122.264293709084
2026-01-22,7329.15673828125,10133.864150226254
2026-01-23,7329.15673828125,10128.309433987419
2026-01-26,7329.15673828125,10130.694118680607
2026-01-27,7185.44775390625,10136.436962707217
2026-01-28,6730.36962890625,10134.993547267935
2026-01-29,6898.0302734375,10147.08576139958
2026-01-30,7089.64208984375,10173.232089174719
2026-02-02,7281.25390625,10176.816824159558
2026-02-03,7329.15673828125,10195.800444664948
2026-02-04,7472.86572265625,10207.753051773314
2026-02-05,7472.86572265625,10188.618251127029
2026-02-06,7353.1083984375,10178.635288486419
2026-02-09,7185.44775390625,10159.157864068145
2026-02-10,7161.49658203125,10165.522765461488
2026-02-11,7137.544921875,10171.055197287487
2026-02-12,7017.78759765625,10149.497110114946
2026-02-13,6898.0302734375,10172.315891832162
2026-02-18,6969.884765625,10175.078098774486
2026-02-19,6874.07861328125,10171.341211988713
2026-02-20,6921.9814453125,10178.324702934638
2026-02-23,6993.8359375,10188.188475766767
2026-02-24,6921.9814453125,10199.788332283935
2026-02-25,7017.78759765625,10194.2336160451
2026-02-26,6993.8359375,10196.618300738288
2026-02-27,6874.07861328125,10202.361144764898
2026-03-02,6730.36962890625,10200.917729325616
2026-03-03,6778.2724609375,10213.00994345726
2026-03-04,6586.66064453125,10239.1562712324
2026-03-05,6802.22412109375,10242.74100621724
2026-03-06,6706.41796875,10261.72462672263
2026-03-09,6586.66064453125,10273.677233830995
2026-03-10,6682.466796875,10254.54243318471
2026-03-11,6538.7578125,10244.5594705441
2026-03-12,6610.6123046875,10225.082046125826
2026-03-13,6586.66064453125,10231.446947519169
2026-03-16,6466.9033203125,10236.979379345168
2026-03-17,6490.8544921875,10215.421292172627
2026-03-25,6610.6123046875,10238.240073889843
2026-03-26,6586.66064453125,10241.002280832166
2026-03-27,6419.0,10237.265394046393
2026-03-30,6450.0,10244.24888499232
2026-03-31,6450.0,10254.112657824448
2026-04-01,6500.0,10265.712514341616
2026-04-02,6575.0,10260.15779810278
2026-04-06,6500.0,10262.542482795969
2026-04-07,6500.0,10268.28532682258
2026-04-08,6750.0,10266.841911383297
2026-04-09,6475.0,10278.934125514941
2026-04-10,6700.0,10305.08045329008
2026-04-13,6575.0,10308.66518827492
2026-04-14,6750.0,10327.64880878031
2026-04-15,6550.0,10339.601415888676
2026-04-16,6525.0,10320.46661524239
2026-04-17,6425.0,10310.483652601783
2026-04-20,6475.0,10291.006228183507
2026-04-21,6500.0,10297.37112957685
2026-04-22,6450.0,10302.903561402849
2026-04-23,6425.0,10281.345474230307
2026-04-24,6050.0,10304.164255947524
2026-04-27,5975.0,10306.926462889847
2026-04-28,6000.0,10303.189576104074
2026-04-29,5975.0,10310.17306705
2026-04-30,5850.0,10320.036839882128
2026-05-04,5900.0,10331.636696399297
2026-05-05,5950.0,10326.081980160461
2026-05-06,5950.0,10328.46666485365
2026-05-07,6225.0,10334.209508880262
2026-05-08,6175.0,10332.766093440978
2026-05-11,6150.0,10344.858307572622
2026-05-12,6125.0,10371.004635347761
2026-05-13,6100.0,10374.589370332602
2026-05-14,6100.0,10393.57299083799
2026-05-15,6100.0,10405.525597946356
2026-05-18,6125.0,10386.390797300071
2026-05-19,5950.0,10376.407834659462
2026-05-20,5975.0,10356.930410241188
2026-05-21,5950.0,10363.29531163453
2026-05-22,5900.0,10368.82774346053
